"seq_id","seq_lane","before_total_reads","before_total_bases","before_q20_bases","before_q30_bases","before_q20_rate","before_q30_rate","before_read1_mean_length","before_read2_mean_length","before_gc_content","after_total_reads","after_total_bases","after_q20_bases","after_q30_bases","after_q20_rate","after_q30_rate","after_read1_mean_length","after_read2_mean_length","after_gc_content","passed_filter_reads","corrected_reads","corrected_bases","low_quality_reads","too_many_N_reads","too_short_reads","too_long_reads","duplication_rate","peak","seq_run","library_id","library_plate","library_column","library_row","library_concentration","library_type","sample_type"
"LIB-MJ044-C10_03","10_03",6322,954622,906124,863532,0.949197,0.90458,151,151,0.575376,2864,405047,401016,388583,0.990048,0.959353,141,141,0.478315,3330,127,172,70,0,2922,0,0.146789,0,"20003-02","LIB-MJ044-C10","LIB00003","10","C",0.14706,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ044-C3_03","3_03",1080,163080,153349,145821,0.94033,0.894169,151,151,0.746713,118,15168,15075,14715,0.993869,0.970134,128,128,0.542656,130,5,5,8,0,942,0,0.301852,0,"20003-02","LIB-MJ044-C3","LIB00003","3","C",0.03431,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ044-F10_03","10_03",4388,662588,605766,574562,0.914242,0.867148,151,151,0.722376,510,66161,65514,63520,0.990221,0.960082,130,129,0.487916,582,28,38,32,0,3774,0,0.0697356,0,"20003-02","LIB-MJ044-F10","LIB00003","10","F",0.04902,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ044-F3_03","3_03",8106,1224006,1155963,1102012,0.94441,0.900332,151,151,0.60742,2602,360627,357674,348495,0.991811,0.966359,138,138,0.523624,3012,126,156,62,0,5032,0,0.160868,0,"20003-02","LIB-MJ044-F3","LIB00003","3","F",0.05147,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ048-C10_04","10_04",1190,179690,170414,162856,0.948378,0.906316,151,151,0.685225,372,53181,52545,50814,0.988041,0.955492,142,143,0.489423,432,18,23,12,0,746,0,0.183193,0,"20003-02","LIB-MJ048-C10","LIB00005","10","C",-0.00514,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ048-C3_04","3_04",998,150698,144117,138158,0.95633,0.916787,151,151,0.831637,82,11949,11821,11458,0.989288,0.958909,146,145,0.506653,92,4,6,12,0,894,0,0.498998,0,"20003-02","LIB-MJ048-C3","LIB00005","3","C",0.00771,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ048-F10_04","10_04",2032,306832,288208,274422,0.939302,0.894372,151,151,0.684704,506,71510,70987,69250,0.992686,0.968396,141,141,0.582744,574,13,18,10,0,1448,0,0.175197,0,"20003-02","LIB-MJ048-F10","LIB00005","10","F",0,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ048-F3_04","3_04",7286,1100186,1074572,1039551,0.976718,0.944887,151,151,0.684161,4320,643072,637566,621309,0.991438,0.966158,148,148,0.629709,5168,63,77,50,2,2066,0,0.264343,0,"20003-02","LIB-MJ048-F3","LIB00005","3","F",0.00771,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ050-C10_02","10_02",1604,242204,219768,209492,0.907367,0.86494,151,151,0.808389,88,11744,11684,11398,0.994891,0.970538,133,133,0.516434,98,10,10,18,0,1488,0,0.00872818,0,"20003-02","LIB-MJ050-C10","LIB00001","10","C",-0.05012,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ050-C3_02","3_02",1950,294450,280091,268491,0.951235,0.911839,151,151,0.746769,520,74858,74373,72795,0.993521,0.972441,144,143,0.615779,616,17,20,22,0,1312,0,0.334359,0,"20003-02","LIB-MJ050-C3","LIB00001","3","C",-0.04511,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ050-F10_02","10_02",30732,4640532,4516220,4374603,0.973212,0.942694,151,151,0.62467,19088,2689695,2673007,2619748,0.993796,0.973994,140,140,0.620613,22904,582,726,260,0,7568,0,0.161525,0,"20003-02","LIB-MJ050-F10","LIB00001","10","F",-0.03509,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ050-F3_02","3_02",5212,787012,706115,672145,0.89721,0.854047,151,151,0.746959,324,41060,40772,39884,0.992986,0.971359,126,126,0.530029,368,22,32,56,0,4788,0,0.0218726,0,"20003-02","LIB-MJ050-F3","LIB00001","3","F",-0.03509,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ051-C10_02","10_02",1020,154020,143912,136331,0.934372,0.885151,151,151,0.707051,160,21777,21611,21000,0.992377,0.96432,136,135,0.505901,180,4,7,12,0,828,0,0.241176,0,"20003-02","LIB-MJ051-C10","LIB00002","10","C",0.02475,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ051-C3_02","3_02",1770,267270,257520,247757,0.96352,0.926991,151,151,0.684155,760,111256,110278,107487,0.991209,0.966123,146,146,0.623957,918,20,22,18,0,834,0,0.230508,0,"20003-02","LIB-MJ051-C3","LIB00002","3","C",0.03599,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ051-F10_02","10_02",2518,380218,359040,342337,0.9443,0.90037,151,151,0.711276,454,63213,62633,60881,0.990825,0.963109,139,138,0.517488,544,9,17,16,0,1958,0,0.300238,0,"20003-02","LIB-MJ051-F10","LIB00002","10","F",0.0225,"ILLUMINA-DNA-PREP(OLD)","blank"
"LIB-MJ051-F3_02","3_02",1578,238278,221997,209279,0.931672,0.878298,151,151,0.697177,248,33363,33027,32058,0.989929,0.960885,134,134,0.516201,286,14,17,20,0,1272,0,0.228137,0,"20003-02","LIB-MJ051-F3","LIB00002","3","F",0.04049,"ILLUMINA-DNA-PREP(OLD)","blank"
