fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD00001,SAMN39864933,P08_1,EXT-MJ019-D8,EXT-MJ019-D8,EXT00001,D,8,19.33,PowerSoil-Pro-HT,LIB-MJ050-D8,LIB00001,D,8,5.71135,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D8_02
MFD00001,SAMN39864933,P08_1,EXT-MJ397-E10,EXT-MJ019-D8,REPREP7,E,10,19.38,PowerSoil-Pro-HT,LIB-MJ408-E10,REPREP7,E,10,1.8,ILLUMINA-DNA-PREP.V2,LIB-MJ408-E10_04
MFD00002,SAMN39864934,P08_1,EXT-MJ019-D9,EXT-MJ019-D9,EXT00001,D,9,10.92,PowerSoil-Pro-HT,LIB-MJ050-D9,LIB00001,D,9,5.09736,ILLUMINA-DNA-PREP.V2,LIB-MJ050-D9_02
MFD00003,SAMN39864935,P08_1,EXT-MJ040-A2,EXT-MJ040-A2,EXT00005,A,2,17.25,PowerSoil-Pro-HT,LIB-MJ048-A2,LIB00005,A,2,5.05861,ILLUMINA-DNA-PREP.V2,LIB-MJ048-A2_04
MFD00004,SAMN39864936,P08_1,EXT-MJ019-E3,EXT-MJ019-E3,EXT00001,E,3,44.92,PowerSoil-Pro-HT,LIB-MJ050-E3,LIB00001,E,3,5.10989,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E3_02
MFD00005,SAMN39864937,P08_1,EXT-MJ038-D2,EXT-MJ038-D2,EXT00003,D,2,3.16,PowerSoil-Pro-HT,LIB-MJ044-D2,LIB00003,D,2,2.24504,ILLUMINA-DNA-PREP.V2,LIB-MJ044-D2_03
MFD00006,SAMN39864938,P08_1,EXT-MJ019-E10,EXT-MJ019-E10,EXT00001,E,10,36.69,PowerSoil-Pro-HT,LIB-MJ050-E10,LIB00001,E,10,4.75152,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E10_02
MFD00007,SAMN39864939,P08_1,EXT-MJ019-A12,EXT-MJ019-A12,EXT00001,A,12,1.55,PowerSoil-Pro-HT,LIB-MJ050-A12,LIB00001,A,12,4.2904,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A12_02
MFD00008,SAMN39864940,P08_1,EXT-MJ019-B8,EXT-MJ019-B8,EXT00001,B,8,24.37,PowerSoil-Pro-HT,LIB-MJ050-B8,LIB00001,B,8,5.58103,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B8_02
MFD00009,SAMN39864941,P08_1,EXT-MJ019-A1,EXT-MJ019-A1,EXT00001,A,1,55.67,PowerSoil-Pro-HT,LIB-MJ050-A1,LIB00001,A,1,5.87675,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A1_02
MFD00010,SAMN39864942,P08_1,EXT-MJ037-H6,EXT-MJ037-H6,EXT00002,H,6,1.26,PowerSoil-Pro-HT,LIB-MJ051-H6,LIB00002,H,6,0.89537,ILLUMINA-DNA-PREP.V2,LIB-MJ051-H6_02
MFD00011,SAMN39864943,P09_1,EXT-MJ038-D4,EXT-MJ038-D4,EXT00003,D,4,3.46,PowerSoil-Pro-HT,LIB-MJ044-D4,LIB00003,D,4,1.7426,ILLUMINA-DNA-PREP.V2,LIB-MJ044-D4_03
MFD00012,SAMN39864944,P08_1,EXT-MJ019-F11,EXT-MJ019-F11,EXT00001,F,11,15.51,PowerSoil-Pro-HT,LIB-MJ050-F11,LIB00001,F,11,4.3305,ILLUMINA-DNA-PREP.V2,LIB-MJ050-F11_02
MFD00013,SAMN39864945,P08_1,EXT-MJ019-A10,EXT-MJ019-A10,EXT00001,A,10,29.98,PowerSoil-Pro-HT,LIB-MJ050-A10,LIB00001,A,10,5.66373,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A10_02
MFD00014,SAMN39864946,P08_1,EXT-MJ019-H2,EXT-MJ019-H2,EXT00001,H,2,0.25,PowerSoil-Pro-HT,LIB-MJ050-H2,LIB00001,H,2,2.23041,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H2_02
MFD00015,SAMN39864947,P08_1,EXT-MJ037-C12,EXT-MJ037-C12,EXT00002,C,12,0.35,PowerSoil-Pro-HT,LIB-MJ051-C12,LIB00002,C,12,0.44093,ILLUMINA-DNA-PREP.V2,LIB-MJ051-C12_02
MFD00016,SAMN39864948,P08_1,EXT-MJ019-B7,EXT-MJ019-B7,EXT00001,B,7,17.61,PowerSoil-Pro-HT,LIB-MJ050-B7,LIB00001,B,7,4.17262,ILLUMINA-DNA-PREP.V2,LIB-MJ050-B7_02
MFD00017,SAMN39864949,P08_1,EXT-MJ039-G1,EXT-MJ039-G1,EXT00004,G,1,36.32,PowerSoil-Pro-HT,LIB-MJ054-G1,LIB00004,G,1,2.85072,ILLUMINA-DNA-PREP.V2,LIB-MJ054-G1_03
MFD00018,SAMN39864950,P08_1,EXT-MJ019-H9,EXT-MJ019-H9,EXT00001,H,9,16.84,PowerSoil-Pro-HT,LIB-MJ050-H9,LIB00001,H,9,3.55863,ILLUMINA-DNA-PREP.V2,LIB-MJ050-H9_02
MFD00019,SAMN39864951,P08_1,EXT-MJ019-A11,EXT-MJ019-A11,EXT00001,A,11,27.78,PowerSoil-Pro-HT,LIB-MJ050-A11,LIB00001,A,11,3.94958,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A11_02
MFD00020,SAMN39864952,P08_1,EXT-MJ019-E2,EXT-MJ019-E2,EXT00001,E,2,2,PowerSoil-Pro-HT,LIB-MJ050-E2,LIB00001,E,2,0.67163,ILLUMINA-DNA-PREP.V2,LIB-MJ050-E2_02
MFD00021,SAMN39864953,P08_1,EXT-MJ019-A7,EXT-MJ019-A7,EXT00001,A,7,41.59,PowerSoil-Pro-HT,LIB-MJ050-A7,LIB00001,A,7,6.50828,ILLUMINA-DNA-PREP.V2,LIB-MJ050-A7_02
MFD00022,SAMN39864954,P08_1,EXT-MJ019-G2,EXT-MJ019-G2,EXT00001,G,2,12.6,PowerSoil-Pro-HT,LIB-MJ050-G2,LIB00001,G,2,4.61619,ILLUMINA-DNA-PREP.V2,LIB-MJ050-G2_02
MFD00023,SAMN39864955,P08_1,EXT-MJ037-H2,EXT-MJ037-H2,EXT00002,H,2,24.22,PowerSoil-Pro-HT,LIB-MJ051-H2,LIB00002,H,2,2.49038,ILLUMINA-DNA-PREP.V2,LIB-MJ051-H2_02
